ID,name,chr,start,stop,comment
AT2G03030.1,,2,889764,890520,Toll-Interleukin-Resistance (TIR) domain family protein
AT2G03300.1,,2,1003468,1004222,Toll-Interleukin-Resistance (TIR) domain family protein
AT2G14080.1,,2,5925186,5929600,Disease resistance protein (TIR-NBS-LRR class) family
AT2G16870.1,,2,7308077,7311686,Disease resistance protein (TIR-NBS-LRR class) family
AT2G17050.1,,2,7410835,7415610,"disease resistance protein (TIR-NBS-LRR class), putative"
AT2G17060.1,,2,7422411,7426877,Disease resistance protein (TIR-NBS-LRR class) family
AT2G20142.1,,2,8695374,8696643,Toll-Interleukin-Resistance (TIR) domain family protein
AT2G32140.1,,2,13655627,13657175,transmembrane receptors
AT3G04210.1,,3,1105963,1108069,Disease resistance protein (TIR-NBS class)
AT3G04220.1,,3,1109118,1112188,Disease resistance protein (TIR-NBS-LRR class) family
AT3G07040.1,RPM1,3,2225952,2229024,NB-ARC domain-containing disease resistance protein
AT3G14460.1,,3,4851990,4856264,LRR and NB-ARC domains-containing disease resistance protein
AT3G14470.1,,3,4857940,4861247,NB-ARC domain-containing disease resistance protein
AT3G15700.1,,3,5321136,5322376,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT3G25510.1,,3,9260838,9268797,"disease resistance protein (TIR-NBS-LRR class), putative"
AT3G44400.1,,3,16045954,16049668,Disease resistance protein (TIR-NBS-LRR class) family
AT3G44480.1,RPP1,3,16090564,16096359,Disease resistance protein (TIR-NBS-LRR class) family
AT3G44630.3,DM2,3,16195984,16200595,Disease resistance protein (TIR-NBS-LRR class) family
AT3G44670.1,,3,16216950,16221617,Disease resistance protein (TIR-NBS-LRR class) family
AT3G46530.1,RPP13,3,17130367,17133338,NB-ARC domain-containing disease resistance protein
AT3G46710.1,,3,17206489,17209032,NB-ARC domain-containing disease resistance protein
AT3G46730.1,,3,17213069,17215612,NB-ARC domain-containing disease resistance protein
AT3G50950.2,ZAR1,3,18935714,18938685,HOPZ-ACTIVATED RESISTANCE 1
AT3G51560.1,,3,19121808,19125913,Disease resistance protein (TIR-NBS-LRR class) family
AT3G51570.1,,3,19126358,19130456,Disease resistance protein (TIR-NBS-LRR class) family
AT4G04110.1,,4,1972591,1974014,Toll-Interleukin-Resistance (TIR) domain family protein
AT4G08450.1,,4,5365610,5371101,Disease resistance protein (TIR-NBS-LRR class) family
AT4G09360.1,,4,5940186,5943280,NB-ARC domain-containing disease resistance protein
AT4G09420.1,,4,5962181,5963791,Disease resistance protein (TIR-NBS class)
AT4G09430.1,,4,5970932,5975375,Disease resistance protein (TIR-NBS-LRR class) family
AT4G10780.1,,4,6634779,6637457,LRR and NB-ARC domains-containing disease resistance protein
AT4G11170.1,RMG1,4,6811127,6817130,Disease resistance protein (TIR-NBS-LRR class) family
AT4G11340.1,,4,6894208,6899130,Disease resistance protein (TIR-NBS-LRR class) family
AT4G12010.1,,4,7197211,7201393,Disease resistance protein (TIR-NBS-LRR class) family
AT4G12020.2,,4,7201656,7209648,protein kinase family protein
AT4G14370.1,,4,8279641,8283263,Disease resistance protein (TIR-NBS-LRR class) family
AT4G16860.1,RPP4,4,9488466,9495816,Disease resistance protein (TIR-NBS-LRR class) family
AT4G16890.1,SNC1,4,9500506,9505455,"disease resistance protein (TIR-NBS-LRR class), putative"
AT4G16900.1,,4,9511859,9516541,Disease resistance protein (TIR-NBS-LRR class) family
AT4G16920.1,,4,9519173,9525691,Disease resistance protein (TIR-NBS-LRR class) family
AT4G16940.1,,4,9533149,9537604,Disease resistance protein (TIR-NBS-LRR class) family
AT4G16950.1,RPP5,4,9538798,9544467,Disease resistance protein (TIR-NBS-LRR class) family
AT4G16960.1,,4,9546343,9551007,Disease resistance protein (TIR-NBS-LRR class) family
AT4G16990.2,RLM3,4,9560135,9565454,"disease resistance protein (TIR-NBS class), putative"
AT4G19050.1,,4,10439984,10444121,NB-ARC domain-containing disease resistance protein
AT4G19060.1,,4,10444916,10446300,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT4G19500.1,,4,10625659,10630395,nucleoside-triphosphatases;transmembrane receptors;nucleotide binding;ATP binding
AT4G19510.1,,4,10633685,10639001,Disease resistance protein (TIR-NBS-LRR class)
AT4G19520.1,,4,10639269,10647079,disease resistance protein (TIR-NBS-LRR class) family
AT4G19530.1,,4,10651744,10657282,disease resistance protein (TIR-NBS-LRR class) family
AT4G19920.1,,4,10797217,10798388,Toll-Interleukin-Resistance (TIR) domain family protein
AT4G23440.1,,4,12237765,12240826,Disease resistance protein (TIR-NBS class)
AT4G23510.1,,4,12267516,12270543,Disease resistance protein (TIR-NBS-LRR class) family
AT4G26090.1,RPS2,4,13224338,13227872,NB-ARC domain-containing disease resistance protein
AT4G27190.1,,4,13620977,13623934,NB-ARC domain-containing disease resistance protein
AT4G27220.1,,4,13633953,13636712,NB-ARC domain-containing disease resistance protein
AT4G33300.1,ADR1L1,4,16051051,16056526,ADR1-like 1
AT4G36140.1,,4,17098956,17104479,"disease resistance protein (TIR-NBS-LRR class), putative"
AT4G36150.1,,4,17104719,17108711,Disease resistance protein (TIR-NBS-LRR class) family
AT5G04720.1,ADR1L2,5,1360712,1363884,ADR1-like 2
AT5G05400.1,,5,1597745,1600369,LRR and NB-ARC domains-containing disease resistance protein
AT5G11250.1,,5,3587978,3591960,Disease resistance protein (TIR-NBS-LRR class)
AT5G17680.1,,5,5822999,5827153,"disease resistance protein (TIR-NBS-LRR class), putative"
AT5G17880.1,Csa1,5,5908874,5913099,disease resistance protein (TIR-NBS-LRR class)
AT5G17890.1,Chs3,5,5916970,5923355,DA1-related protein 4
AT5G17970.1,,5,5948999,5951619,Disease resistance protein (TIR-NBS-LRR class) family
AT5G18350.1,,5,6074069,6078569,Disease resistance protein (TIR-NBS-LRR class) family
AT5G18360.1,,5,6080049,6083027,Disease resistance protein (TIR-NBS-LRR class) family
AT5G18370.1,,5,6085036,6088926,Disease resistance protein (TIR-NBS-LRR class) family
AT5G22690.1,,5,7541271,7545182,Disease resistance protein (TIR-NBS-LRR class) family
AT5G35450.1,,5,13667686,13671184,Disease resistance protein (CC-NBS-LRR class) family
AT5G36930.2,,5,14567622,14572630,Disease resistance protein (TIR-NBS-LRR class) family
AT5G38340.1,,5,15320507,15324061,Disease resistance protein (TIR-NBS-LRR class) family
AT5G38350.1,,5,15328659,15331528,Disease resistance protein (NBS-LRR class) family
AT5G38850.1,,5,15555156,15558732,Disease resistance protein (TIR-NBS-LRR class)
AT5G40060.1,,5,16034576,16039096,Disease resistance protein (NBS-LRR class) family
AT5G40090.1,,5,16041919,16043494,Disease resistance protein (TIR-NBS class)
AT5G40100.1,,5,16043929,16047355,Disease resistance protein (TIR-NBS-LRR class) family
AT5G40910.1,,5,16395507,16399129,Disease resistance protein (TIR-NBS-LRR class) family
AT5G41540.1,,5,16612659,16616063,Disease resistance protein (TIR-NBS-LRR class) family
AT5G41550.1,DM1,5,16617232,16620785,Disease resistance protein (TIR-NBS-LRR class) family
AT5G41740.2,DM1,5,16688626,16693119,Disease resistance protein (TIR-NBS-LRR class) family
AT5G41750.1,,5,16693909,16698943,Disease resistance protein (TIR-NBS-LRR class) family
AT5G43470.1,RPP8,5,17462611,17467448,Disease resistance protein (CC-NBS-LRR class) family
AT5G43730.1,,5,17560179,17562929,Disease resistance protein (CC-NBS-LRR class) family
AT5G43740.1,,5,17564738,17568802,Disease resistance protein (CC-NBS-LRR class) family
AT5G44510.1,TAO1,5,17929673,17934188,target of AVRB operation1
AT5G44870.1,TTR1,5,18114666,18118608,Disease resistance protein (TIR-NBS-LRR class) family
AT5G44900.1,,5,18135446,18136438,Toll-Interleukin-Resistance (TIR) domain family protein
AT5G44910.1,,5,18137354,18138235,Toll-Interleukin-Resistance (TIR) domain family protein
AT5G44920.1,,5,18138775,18140190,Toll-Interleukin-Resistance (TIR) domain family protein
AT5G45000.1,,5,18165383,18167193,Disease resistance protein (TIR-NBS-LRR class) family
AT5G45050.1,RRS1B,5,18176914,18181805,Disease resistance protein (TIR-NBS-LRR class)
AT5G45060.1,RPS4B,5,18182038,18186495,Disease resistance protein (TIR-NBS-LRR class) family
AT5G45070.1,,5,18187630,18189431,phloem protein 2-A8
AT5G45080.1,,5,18191575,18193207,phloem protein 2-A6
AT5G45090.1,,5,18202753,18205000,phloem protein 2-A7
AT5G45200.1,HRG7,5,18283967,18290332,Disease resistance protein (TIR-NBS-LRR class) family
AT5G45210.1,HRG8,5,18295521,18298434,Disease resistance protein (TIR-NBS-LRR class) family
AT5G45220.1,,5,18298926,18301069,Disease resistance protein (TIR-NBS-LRR class) family
AT5G45230.1,,5,18302147,18308303,Disease resistance protein (TIR-NBS-LRR class) family
AT5G45240.1,,5,18313706,18319089,Disease resistance protein (TIR-NBS-LRR class)
AT5G45250.1,RPS4,5,18321914,18326022,Disease resistance protein (TIR-NBS-LRR class) family
AT5G45260.1,RRS1,5,18326203,18332609,Disease resistance protein (TIR-NBS-LRR class)
AT5G45440.1,,5,18412308,18413555,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G45490.1,,5,18431003,18432397,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G45510.1,,5,18444657,18449446,Leucine-rich repeat (LRR) family protein
AT5G46260.1,HRG2,5,18759102,18763358,disease resistance protein (TIR-NBS-LRR class) family
AT5G46270.1,HRG3,5,18764349,18769090,Disease resistance protein (TIR-NBS-LRR class) family
AT5G46450.1,,5,18835618,18839546,Disease resistance protein (TIR-NBS-LRR class) family
AT5G46470.1,RPS6,5,18842701,18849741,disease resistance protein (TIR-NBS-LRR class) family
AT5G46490.2,,5,18850776,18853843,Disease resistance protein (TIR-NBS-LRR class) family
AT5G46500.1,,5,18856454,18857787,
AT5G46510.1,,5,18860451,18867013,Disease resistance protein (TIR-NBS-LRR class) family
AT5G46520.1,,5,18867767,18872415,Disease resistance protein (TIR-NBS-LRR class) family
AT5G47250.1,,5,19185794,19188745,LRR and NB-ARC domains-containing disease resistance protein
AT5G47260.1,,5,19189411,19192516,ATP binding;GTP binding;nucleotide binding;nucleoside-triphosphatases
AT5G47280.1,ADR1L3,5,19193157,19195559,ADR1-like 3
AT5G48620.1,,5,19716476,19721452,Disease resistance protein (CC-NBS-LRR class) family
AT5G48770.1,,5,19773277,19777242,Disease resistance protein (TIR-NBS-LRR class) family
AT5G48780.1,,5,19777468,19779604,disease resistance protein (TIR-NBS class)
AT5G49140.1,HRG9,5,19919085,19923415,Disease resistance protein (TIR-NBS-LRR class) family
AT5G51630.1,,5,20970030,20974916,Disease resistance protein (TIR-NBS-LRR class) family
AT5G56220.1,,5,22754818,22757920,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G58120.1,,5,23517492,23521067,Disease resistance protein (TIR-NBS-LRR class) family
AT5G63020.1,,5,25283063,25286002,Disease resistance protein (CC-NBS-LRR class) family
AT5G66630.1,DAR5,5,26592648,26595922,DA1-related protein 5
AT5G66900.1,,5,26714764,26717788,Disease resistance protein (CC-NBS-LRR class) family
AT5G66910.1,,5,26718232,26721256,Disease resistance protein (CC-NBS-LRR class) family
